responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
-1,1,6,0,0,4.7124,5.1051,0,0,0,24.794
1,1,2,0,1,1.5708,1.5708,0,1,0,24.794
1,1,7,0,1,5.4978,5.4978,0,2,0,24.794
1,0,5,0,0,3.927,3.5343,0,3,0,24.794
1,0,0,0,0,0,-1.1781,0,4,0,24.794
1,1,4,0,1,3.1416,3.1416,0,5,0,24.794
1,1,1,0,1,0.7854,0.7854,0,6,0,24.794
-1,1,3,0,0,2.3562,3.5343,0,7,0,24.794
-1,1,3,0,0,2.3562,1.5708,0,8,0,24.794
1,1,6,0,1,4.7124,4.7124,0,9,0,24.794
1,1,4,0,1,3.1416,3.1416,0,10,0,24.794
-1,1,0,0,0,0,0.7854,0,11,0,24.794
1,1,5,0,1,3.927,3.927,0,12,0,24.794
-1,1,1,0,0,0.7854,0,0,13,0,24.794
1,1,2,0,1,1.5708,1.5708,0,14,0,24.794
-1,1,7,0,0,5.4978,6.2832,0,15,0,24.794
1,1,3,0,1,2.3562,2.3562,0,16,0,24.794
-1,1,1,0,0,0.7854,0.3927,0,17,0,24.794
1,1,6,0,1,4.7124,4.7124,0,18,0,24.794
-1,1,2,0,0,1.5708,0.7854,0,19,0,24.794
1,0,4,0,0,3.1416,3.5343,0,20,0,24.794
1,1,7,0,1,5.4978,5.4978,0,21,0,24.794
1,1,0,0,1,0,0,0,22,0,24.794
-1,1,5,0,0,3.927,3.5343,0,23,0,24.794
1,0,3,0,0,2.3562,1.9635,0,24,0,24.794
-1,1,3,0,0,2.3562,1.5708,0,0,1,24.794
1,1,5,0,1,3.927,3.927,0,1,1,24.794
-1,1,1,0,0,0.7854,1.9635,0,2,1,24.794
1,1,0,0,1,0,0,0,3,1,24.794
1,1,6,0,1,4.7124,4.7124,0,4,1,24.794
-1,1,2,0,0,1.5708,0.3927,0,5,1,24.794
1,1,4,0,1,3.1416,3.1416,0,6,1,24.794
-1,1,7,0,0,5.4978,4.3197,0,7,1,24.794
-1,1,7,0,0,5.4978,5.8905,0,8,1,24.794
1,1,6,0,1,4.7124,4.7124,0,9,1,24.794
1,1,5,0,1,3.927,3.927,0,10,1,24.794
-1,1,0,0,0,0,1.1781,0,11,1,24.794
-1,1,3,0,0,2.3562,1.1781,0,12,1,24.794
1,1,4,0,1,3.1416,3.1416,0,13,1,24.794
-1,1,1,0,0,0.7854,1.5708,0,14,1,24.794
1,1,2,0,1,1.5708,1.5708,0,15,1,24.794
1,1,1,0,1,0.7854,0.7854,0,16,1,24.794
