responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
-1,0,3,0,1,2.3562,2.3562,0,0,0,125.61
1,0,7,0,0,5.4978,4.7124,0,1,0,125.61
-1,1,1,0,0,0.7854,1.1781,0,2,0,125.61
1,1,4,0,1,3.1416,3.1416,0,3,0,125.61
1,0,5,0,0,3.927,2.7489,0,4,0,125.61
1,1,2,0,1,1.5708,1.5708,0,5,0,125.61
1,1,6,0,1,4.7124,4.7124,0,6,0,125.61
1,0,0,0,0,0,0.7854,0,7,0,125.61
1,1,6,0,1,4.7124,4.7124,0,8,0,125.61
1,0,7,0,0,5.4978,4.7124,0,9,0,125.61
1,1,3,0,1,2.3562,2.3562,0,10,0,125.61
1,0,5,0,0,3.927,2.7489,0,11,0,125.61
1,0,2,0,0,1.5708,2.3562,0,12,0,125.61
1,1,0,0,1,0,0,0,13,0,125.61
1,1,4,0,1,3.1416,3.1416,0,14,0,125.61
-1,1,1,0,0,0.7854,1.9635,0,15,0,125.61
-1,1,2,0,0,1.5708,0.3927,0,16,0,125.61
1,1,4,0,1,3.1416,3.1416,0,17,0,125.61
1,0,6,0,0,4.7124,5.4978,0,18,0,125.61
-1,0,1,0,1,0.7854,0.7854,0,19,0,125.61
1,0,7,0,0,5.4978,5.8905,0,20,0,125.61
1,1,0,0,1,0,0,0,21,0,125.61
1,0,3,0,0,2.3562,1.9635,0,22,0,125.61
-1,0,5,0,1,3.927,3.927,0,23,0,125.61
1,1,2,0,1,1.5708,1.5708,0,24,0,125.61
-1,1,6,0,0,4.7124,3.927,0,0,1,125.61
-1,0,2,0,1,1.5708,1.5708,0,1,1,125.61
1,0,7,0,0,5.4978,4.3197,0,2,1,125.61
-1,0,4,0,1,3.1416,3.1416,0,3,1,125.61
1,0,5,0,0,3.927,3.5343,0,4,1,125.61
-1,0,3,0,1,2.3562,2.3562,0,5,1,125.61
1,1,0,0,1,0,0,0,6,1,125.61
1,0,1,0,0,0.7854,0.3927,0,7,1,125.61
1,1,0,0,1,0,0,0,8,1,125.61
1,0,5,0,0,3.927,2.7489,0,9,1,125.61
1,1,4,0,1,3.1416,3.1416,0,10,1,125.61
-1,1,2,0,0,1.5708,2.7489,0,11,1,125.61
1,1,1,0,1,0.7854,0.7854,0,12,1,125.61
1,0,6,0,0,4.7124,4.3197,0,13,1,125.61
-1,1,7,0,0,5.4978,4.3197,0,14,1,125.61
1,1,3,0,1,2.3562,2.3562,0,15,1,125.61
1,0,1,0,0,0.7854,1.1781,0,16,1,125.61
-1,0,3,0,1,2.3562,2.3562,0,17,1,125.61
1,0,4,0,0,3.1416,3.5343,0,18,1,125.61
-1,0,7,0,1,5.4978,5.4978,0,19,1,125.61
-1,1,2,0,0,1.5708,1.1781,0,20,1,125.61
-1,0,5,0,1,3.927,3.927,0,21,1,125.61
-1,1,6,0,0,4.7124,3.927,0,22,1,125.61
-1,0,0,0,1,0,0,0,23,1,125.61
-1,1,2,0,0,1.5708,0.7854,0,24,1,125.61
-1,0,4,0,1,3.1416,3.1416,0,0,2,125.61
1,0,5,0,0,3.927,5.1051,0,1,2,125.61
-1,0,6,0,1,4.7124,4.7124,0,2,2,125.61
-1,1,0,0,0,0,-0.3927,0,3,2,125.61
-1,0,2,0,1,1.5708,1.5708,0,4,2,125.61
1,0,1,0,0,0.7854,0,0,5,2,125.61
1,1,7,0,1,5.4978,5.4978,0,6,2,125.61
-1,1,3,0,0,2.3562,3.1416,0,7,2,125.61
1,0,7,0,0,5.4978,5.1051,0,8,2,125.61
-1,0,2,0,1,1.5708,1.5708,0,9,2,125.61
-1,0,6,0,1,4.7124,4.7124,0,10,2,125.61
-1,1,1,0,0,0.7854,0,0,11,2,125.61
-1,0,0,0,1,0,0,0,12,2,125.61
-1,1,3,0,0,2.3562,2.7489,0,13,2,125.61
-1,1,5,0,0,3.927,3.1416,0,14,2,125.61
-1,0,4,0,1,3.1416,3.1416,0,15,2,125.61
-1,0,4,0,1,3.1416,3.1416,0,16,2,125.61
-1,1,7,0,0,5.4978,5.1051,0,17,2,125.61
-1,0,0,0,1,0,0,0,18,2,125.61
-1,1,6,0,0,4.7124,4.3197,0,19,2,125.61
-1,0,2,0,1,1.5708,1.5708,0,20,2,125.61
-1,1,5,0,0,3.927,4.7124,0,21,2,125.61
-1,1,3,0,0,2.3562,1.1781,0,22,2,125.61
