responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,1,7,0,1,5.4978,5.4978,0,0,0,56.859
1,0,4,0,0,3.1416,1.9635,0,1,0,56.859
1,1,3,0,1,2.3562,2.3562,0,2,0,56.859
1,0,5,0,0,3.927,3.5343,0,3,0,56.859
1,0,2,0,0,1.5708,1.9635,0,4,0,56.859
1,1,1,0,1,0.7854,0.7854,0,5,0,56.859
1,1,6,0,1,4.7124,4.7124,0,6,0,56.859
1,0,0,0,0,0,1.1781,0,7,0,56.859
-1,0,3,0,1,2.3562,2.3562,0,8,0,56.859
1,0,5,0,0,3.927,2.7489,0,9,0,56.859
1,0,6,0,0,4.7124,3.927,0,10,0,56.859
-1,0,2,0,1,1.5708,1.5708,0,11,0,56.859
1,1,4,0,1,3.1416,3.1416,0,12,0,56.859
1,0,1,0,0,0.7854,1.1781,0,13,0,56.859
1,1,7,0,1,5.4978,5.4978,0,14,0,56.859
1,0,0,0,0,0,-0.3927,0,15,0,56.859
1,0,5,0,0,3.927,2.7489,0,16,0,56.859
1,1,3,0,1,2.3562,2.3562,0,17,0,56.859
1,0,6,0,0,4.7124,5.4978,0,18,0,56.859
1,1,4,0,1,3.1416,3.1416,0,19,0,56.859
-1,1,0,0,0,0,0.3927,0,20,0,56.859
1,1,2,0,1,1.5708,1.5708,0,21,0,56.859
1,0,1,0,0,0.7854,0.3927,0,22,0,56.859
1,1,7,0,1,5.4978,5.4978,0,23,0,56.859
1,1,2,0,1,1.5708,1.5708,0,24,0,56.859
-1,1,2,0,0,1.5708,0.7854,0,0,1,56.859
1,1,5,0,1,3.927,3.927,0,1,1,56.859
1,1,1,0,1,0.7854,0.7854,0,2,1,56.859
-1,1,4,0,0,3.1416,4.3197,0,3,1,56.859
1,1,6,0,1,4.7124,4.7124,0,4,1,56.859
1,0,3,0,0,2.3562,1.9635,0,5,1,56.859
1,1,0,0,1,0,0,0,6,1,56.859
-1,1,7,0,0,5.4978,6.2832,0,7,1,56.859
-1,1,6,0,0,4.7124,3.927,0,8,1,56.859
1,1,7,0,1,5.4978,5.4978,0,9,1,56.859
-1,1,4,0,0,3.1416,1.9635,0,10,1,56.859
1,1,0,0,1,0,0,0,11,1,56.859
-1,1,2,0,0,1.5708,2.3562,0,12,1,56.859
