responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
-1,1,5,0,0,3.927,4.3197,0,0,0,72.416
-1,0,0,0,1,0,0,0,1,0,72.416
-1,0,6,0,1,4.7124,4.7124,0,2,0,72.416
1,0,1,0,0,0.7854,1.9635,0,3,0,72.416
-1,1,2,0,0,1.5708,0.3927,0,4,0,72.416
1,1,4,0,1,3.1416,3.1416,0,5,0,72.416
1,0,7,0,0,5.4978,4.7124,0,6,0,72.416
1,1,3,0,1,2.3562,2.3562,0,7,0,72.416
1,1,5,0,1,3.927,3.927,0,8,0,72.416
-1,1,1,0,0,0.7854,1.5708,0,9,0,72.416
1,1,2,0,1,1.5708,1.5708,0,10,0,72.416
-1,1,0,0,0,0,-0.3927,0,11,0,72.416
1,0,3,0,0,2.3562,1.1781,0,12,0,72.416
1,1,6,0,1,4.7124,4.7124,0,13,0,72.416
-1,1,4,0,0,3.1416,3.927,0,14,0,72.416
1,1,7,0,1,5.4978,5.4978,0,15,0,72.416
-1,1,4,0,0,3.1416,4.3197,0,16,0,72.416
1,1,5,0,1,3.927,3.927,0,17,0,72.416
1,1,3,0,1,2.3562,2.3562,0,18,0,72.416
-1,1,6,0,0,4.7124,4.3197,0,19,0,72.416
1,1,1,0,1,0.7854,0.7854,0,20,0,72.416
-1,1,2,0,0,1.5708,0.3927,0,21,0,72.416
1,1,0,0,1,0,0,0,22,0,72.416
-1,1,7,0,0,5.4978,6.2832,0,23,0,72.416
-1,1,1,0,0,0.7854,1.9635,0,24,0,72.416
-1,1,3,0,0,2.3562,2.7489,0,0,1,72.416
1,1,6,0,1,4.7124,4.7124,0,1,1,72.416
1,1,4,0,1,3.1416,3.1416,0,2,1,72.416
-1,1,5,0,0,3.927,4.7124,0,3,1,72.416
1,1,2,0,1,1.5708,1.5708,0,4,1,72.416
-1,1,7,0,0,5.4978,4.7124,0,5,1,72.416
-1,1,1,0,0,0.7854,1.5708,0,6,1,72.416
1,1,0,0,1,0,0,0,7,1,72.416
-1,1,6,0,0,4.7124,5.8905,0,8,1,72.416
1,1,3,0,1,2.3562,2.3562,0,9,1,72.416
-1,1,5,0,0,3.927,4.3197,0,10,1,72.416
-1,0,0,0,1,0,0,0,11,1,72.416
1,0,1,0,0,0.7854,1.1781,0,12,1,72.416
1,1,4,0,1,3.1416,3.1416,0,13,1,72.416
-1,1,7,0,0,5.4978,4.3197,0,14,1,72.416
1,1,2,0,1,1.5708,1.5708,0,15,1,72.416
-1,1,2,0,0,1.5708,2.3562,0,16,1,72.416
1,1,6,0,1,4.7124,4.7124,0,17,1,72.416
-1,1,4,0,0,3.1416,2.7489,0,18,1,72.416
1,1,7,0,1,5.4978,5.4978,0,19,1,72.416
1,1,5,0,1,3.927,3.927,0,20,1,72.416
-1,1,1,0,0,0.7854,1.1781,0,21,1,72.416
1,1,0,0,1,0,0,0,22,1,72.416
-1,1,3,0,0,2.3562,3.1416,0,23,1,72.416
1,1,1,0,1,0.7854,0.7854,0,24,1,72.416
-1,1,4,0,0,3.1416,3.927,0,0,2,72.416
1,1,5,0,1,3.927,3.927,0,1,2,72.416
-1,1,3,0,0,2.3562,2.7489,0,2,2,72.416
1,1,6,0,1,4.7124,4.7124,0,3,2,72.416
-1,1,0,0,0,0,-0.7854,0,4,2,72.416
1,1,2,0,1,1.5708,1.5708,0,5,2,72.416
1,1,7,0,1,5.4978,5.4978,0,6,2,72.416
-1,1,1,0,0,0.7854,1.1781,0,7,2,72.416
-1,1,5,0,0,3.927,2.7489,0,8,2,72.416
-1,0,6,0,1,4.7124,4.7124,0,9,2,72.416
-1,1,3,0,0,2.3562,3.1416,0,10,2,72.416
1,1,1,0,1,0.7854,0.7854,0,11,2,72.416
1,1,4,0,1,3.1416,3.1416,0,12,2,72.416
-1,1,0,0,0,0,0.3927,0,13,2,72.416
1,1,7,0,1,5.4978,5.4978,0,14,2,72.416
-1,1,2,0,0,1.5708,2.3562,0,15,2,72.416
1,1,5,0,1,3.927,3.927,0,16,2,72.416
-1,1,2,0,0,1.5708,1.1781,0,17,2,72.416
-1,1,7,0,0,5.4978,6.2832,0,18,2,72.416
1,1,0,0,1,0,0,0,19,2,72.416
1,1,6,0,1,4.7124,4.7124,0,20,2,72.416
-1,1,1,0,0,0.7854,1.9635,0,21,2,72.416
