responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,1,3,0,1,2.3562,2.3562,0,0,0,67.47
1,0,5,0,0,3.927,2.7489,0,1,0,67.47
-1,0,4,0,1,3.1416,3.1416,0,2,0,67.47
1,0,1,0,0,0.7854,1.5708,0,3,0,67.47
1,1,0,0,1,0,0,0,4,0,67.47
1,0,2,0,0,1.5708,1.1781,0,5,0,67.47
-1,0,6,0,1,4.7124,4.7124,0,6,0,67.47
1,0,7,0,0,5.4978,4.3197,0,7,0,67.47
-1,0,1,0,1,0.7854,0.7854,0,8,0,67.47
-1,1,3,0,0,2.3562,1.9635,0,9,0,67.47
1,0,6,0,0,4.7124,5.8905,0,10,0,67.47
1,1,0,0,1,0,0,0,11,0,67.47
-1,1,4,0,0,3.1416,1.9635,0,12,0,67.47
-1,0,2,0,1,1.5708,1.5708,0,13,0,67.47
-1,0,5,0,1,3.927,3.927,0,14,0,67.47
-1,1,7,0,0,5.4978,4.7124,0,15,0,67.47
-1,1,6,0,0,4.7124,4.3197,0,16,0,67.47
1,1,3,0,1,2.3562,2.3562,0,17,0,67.47
1,1,0,0,1,0,0,0,18,0,67.47
-1,1,2,0,0,1.5708,2.3562,0,19,0,67.47
1,1,1,0,1,0.7854,0.7854,0,20,0,67.47
-1,1,4,0,0,3.1416,2.7489,0,21,0,67.47
1,0,5,0,0,3.927,4.3197,0,22,0,67.47
1,1,7,0,1,5.4978,5.4978,0,23,0,67.47
-1,1,3,0,0,2.3562,1.5708,0,24,0,67.47
1,1,5,0,1,3.927,3.927,0,0,1,67.47
-1,1,2,0,0,1.5708,2.7489,0,1,1,67.47
1,1,4,0,1,3.1416,3.1416,0,2,1,67.47
1,0,1,0,0,0.7854,0.3927,0,3,1,67.47
1,0,0,0,0,0,0.7854,0,4,1,67.47
1,1,3,0,1,2.3562,2.3562,0,5,1,67.47
1,1,6,0,1,4.7124,4.7124,0,6,1,67.47
-1,1,7,0,0,5.4978,4.3197,0,7,1,67.47
-1,1,2,0,0,1.5708,2.7489,0,8,1,67.47
1,1,1,0,1,0.7854,0.7854,0,9,1,67.47
-1,1,4,0,0,3.1416,3.5343,0,10,1,67.47
1,1,0,0,1,0,0,0,11,1,67.47
1,1,6,0,1,4.7124,4.7124,0,12,1,67.47
1,0,3,0,0,2.3562,1.9635,0,13,1,67.47
1,0,7,0,0,5.4978,5.8905,0,14,1,67.47
1,1,5,0,1,3.927,3.927,0,15,1,67.47
1,1,0,0,1,0,0,0,16,1,67.47
-1,1,3,0,0,2.3562,3.5343,0,17,1,67.47
1,1,1,0,1,0.7854,0.7854,0,18,1,67.47
-1,1,4,0,0,3.1416,2.7489,0,19,1,67.47
-1,1,6,0,0,4.7124,5.8905,0,20,1,67.47
1,1,7,0,1,5.4978,5.4978,0,21,1,67.47
1,0,2,0,0,1.5708,1.9635,0,22,1,67.47
1,1,5,0,1,3.927,3.927,0,23,1,67.47
1,1,3,0,1,2.3562,2.3562,0,24,1,67.47
1,1,1,0,1,0.7854,0.7854,0,0,2,67.47
-1,1,6,0,0,4.7124,5.8905,0,1,2,67.47
1,0,5,0,0,3.927,4.3197,0,2,2,67.47
1,1,4,0,1,3.1416,3.1416,0,3,2,67.47
-1,1,7,0,0,5.4978,4.7124,0,4,2,67.47
1,1,3,0,1,2.3562,2.3562,0,5,2,67.47
1,1,2,0,1,1.5708,1.5708,0,6,2,67.47
1,0,0,0,0,0,1.1781,0,7,2,67.47
-1,1,1,0,0,0.7854,1.5708,0,8,2,67.47
-1,0,7,0,1,5.4978,5.4978,0,9,2,67.47
-1,1,3,0,0,2.3562,1.1781,0,10,2,67.47
-1,0,6,0,1,4.7124,4.7124,0,11,2,67.47
1,1,5,0,1,3.927,3.927,0,12,2,67.47
1,0,4,0,0,3.1416,3.5343,0,13,2,67.47
1,0,0,0,0,0,-1.1781,0,14,2,67.47
1,1,2,0,1,1.5708,1.5708,0,15,2,67.47
-1,1,4,0,0,3.1416,4.3197,0,16,2,67.47
1,1,1,0,1,0.7854,0.7854,0,17,2,67.47
-1,1,5,0,0,3.927,2.7489,0,18,2,67.47
-1,0,6,0,1,4.7124,4.7124,0,19,2,67.47
1,1,3,0,1,2.3562,2.3562,0,20,2,67.47
-1,1,2,0,0,1.5708,1.1781,0,21,2,67.47
-1,0,0,0,1,0,0,0,22,2,67.47
-1,1,7,0,0,5.4978,6.6759,0,23,2,67.47
-1,0,4,0,1,3.1416,3.1416,0,24,2,67.47
-1,1,6,0,0,4.7124,4.3197,1,0,0,67.47
1,1,1,0,1,0.7854,0.7854,1,1,0,67.47
-1,1,5,0,0,3.927,2.7489,1,2,0,67.47
1,1,4,0,1,3.1416,3.1416,1,3,0,67.47
-1,1,2,0,0,1.5708,0.7854,1,4,0,67.47
1,1,3,0,1,2.3562,2.3562,1,5,0,67.47
1,1,0,0,1,0,0,1,6,0,67.47
1,0,7,0,0,5.4978,5.8905,1,7,0,67.47
1,1,0,0,1,0,0,1,8,0,67.47
-1,1,5,0,0,3.927,5.1051,1,9,0,67.47
-1,1,1,0,0,0.7854,0,1,10,0,67.47
1,1,2,0,1,1.5708,1.5708,1,11,0,67.47
-1,1,7,0,0,5.4978,4.7124,1,12,0,67.47
1,1,6,0,1,4.7124,4.7124,1,13,0,67.47
-1,1,3,0,0,2.3562,3.1416,1,14,0,67.47
1,1,4,0,1,3.1416,3.1416,1,15,0,67.47
1,1,2,0,1,1.5708,1.5708,1,16,0,67.47
-1,1,0,0,0,0,-1.1781,1,17,0,67.47
1,1,7,0,1,5.4978,5.4978,1,18,0,67.47
-1,1,6,0,0,4.7124,5.1051,1,19,0,67.47
-1,1,3,0,0,2.3562,1.5708,1,20,0,67.47
1,1,4,0,1,3.1416,3.1416,1,21,0,67.47
1,0,1,0,0,0.7854,0.3927,1,22,0,67.47
1,1,5,0,1,3.927,3.927,1,23,0,67.47
1,1,6,0,1,4.7124,4.7124,1,24,0,67.47
