responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,1,1,0,1,0.7854,0.7854,0,0,0,3.7437e+14
1,0,4,0,0,3.1416,3.927,0,1,0,3.7437e+14
1,0,6,0,0,4.7124,3.5343,0,2,0,3.7437e+14
1,1,2,0,1,1.5708,1.5708,0,3,0,3.7437e+14
1,0,5,0,0,3.927,5.1051,0,4,0,3.7437e+14
-1,0,3,0,1,2.3562,2.3562,0,5,0,3.7437e+14
1,0,0,0,0,0,0.3927,0,6,0,3.7437e+14
1,1,7,0,1,5.4978,5.4978,0,7,0,3.7437e+14
1,0,4,0,0,3.1416,2.3562,0,8,0,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,9,0,3.7437e+14
1,0,2,0,0,1.5708,2.7489,0,10,0,3.7437e+14
1,1,7,0,1,5.4978,5.4978,0,11,0,3.7437e+14
1,1,5,0,1,3.927,3.927,0,12,0,3.7437e+14
1,0,6,0,0,4.7124,5.8905,0,13,0,3.7437e+14
1,0,1,0,0,0.7854,0.3927,0,14,0,3.7437e+14
1,1,0,0,1,0,0,0,15,0,3.7437e+14
1,1,1,0,1,0.7854,0.7854,0,16,0,3.7437e+14
1,0,5,0,0,3.927,2.7489,0,17,0,3.7437e+14
1,0,6,0,0,4.7124,5.4978,0,18,0,3.7437e+14
1,1,7,0,1,5.4978,5.4978,0,19,0,3.7437e+14
1,0,0,0,0,0,0.3927,0,20,0,3.7437e+14
-1,0,4,0,1,3.1416,3.1416,0,21,0,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,22,0,3.7437e+14
1,0,2,0,0,1.5708,1.1781,0,23,0,3.7437e+14
1,1,7,0,1,5.4978,5.4978,0,24,0,3.7437e+14
1,0,6,0,0,4.7124,4.3197,0,0,1,3.7437e+14
1,1,4,0,1,3.1416,3.1416,0,1,1,3.7437e+14
1,0,5,0,0,3.927,4.7124,0,2,1,3.7437e+14
1,1,1,0,1,0.7854,0.7854,0,3,1,3.7437e+14
1,1,2,0,1,1.5708,1.5708,0,4,1,3.7437e+14
1,0,7,0,0,5.4978,6.6759,0,5,1,3.7437e+14
-1,1,0,0,0,0,0.3927,0,6,1,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,7,1,3.7437e+14
-1,1,6,0,0,4.7124,3.5343,0,8,1,3.7437e+14
-1,0,5,0,1,3.927,3.927,0,9,1,3.7437e+14
-1,1,7,0,0,5.4978,6.6759,0,10,1,3.7437e+14
1,1,4,0,1,3.1416,3.1416,0,11,1,3.7437e+14
1,1,2,0,1,1.5708,1.5708,0,12,1,3.7437e+14
-1,1,1,0,0,0.7854,-0.3927,0,13,1,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,14,1,3.7437e+14
-1,1,0,0,0,0,0.7854,0,15,1,3.7437e+14
1,1,1,0,1,0.7854,0.7854,0,16,1,3.7437e+14
-1,1,6,0,0,4.7124,5.8905,0,17,1,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,18,1,3.7437e+14
-1,1,7,0,0,5.4978,5.1051,0,19,1,3.7437e+14
1,1,2,0,1,1.5708,1.5708,0,20,1,3.7437e+14
-1,1,0,0,0,0,0.7854,0,21,1,3.7437e+14
-1,0,4,0,1,3.1416,3.1416,0,22,1,3.7437e+14
-1,1,5,0,0,3.927,3.1416,0,23,1,3.7437e+14
-1,1,5,0,0,3.927,3.1416,0,24,1,3.7437e+14
-1,1,5,0,0,3.927,4.7124,0,0,2,3.7437e+14
-1,0,6,0,1,4.7124,4.7124,0,1,2,3.7437e+14
1,1,2,0,1,1.5708,1.5708,0,2,2,3.7437e+14
-1,1,4,0,0,3.1416,4.3197,0,3,2,3.7437e+14
1,1,1,0,1,0.7854,0.7854,0,4,2,3.7437e+14
-1,1,7,0,0,5.4978,5.8905,0,5,2,3.7437e+14
1,0,3,0,0,2.3562,1.5708,0,6,2,3.7437e+14
-1,0,0,0,1,0,0,0,7,2,3.7437e+14
1,0,1,0,0,0.7854,1.5708,0,8,2,3.7437e+14
-1,0,4,0,1,3.1416,3.1416,0,9,2,3.7437e+14
-1,1,5,0,0,3.927,5.1051,0,10,2,3.7437e+14
-1,0,7,0,1,5.4978,5.4978,0,11,2,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,12,2,3.7437e+14
-1,1,6,0,0,4.7124,5.4978,0,13,2,3.7437e+14
-1,1,2,0,0,1.5708,0.3927,0,14,2,3.7437e+14
-1,0,0,0,1,0,0,0,15,2,3.7437e+14
1,0,1,0,0,0.7854,1.9635,0,16,2,3.7437e+14
-1,0,6,0,1,4.7124,4.7124,0,17,2,3.7437e+14
-1,1,7,0,0,5.4978,5.1051,0,18,2,3.7437e+14
1,1,3,0,1,2.3562,2.3562,0,19,2,3.7437e+14
1,0,5,0,0,3.927,4.3197,0,20,2,3.7437e+14
1,1,4,0,1,3.1416,3.1416,0,21,2,3.7437e+14
