responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,1,1,0,1,0.7854,0.7854,0,0,0,77.628
1,0,2,0,0,1.5708,2.3562,0,1,0,77.628
1,1,3,0,1,2.3562,2.3562,0,2,0,77.628
1,0,6,0,0,4.7124,4.3197,0,3,0,77.628
1,1,4,0,1,3.1416,3.1416,0,4,0,77.628
1,0,5,0,0,3.927,4.3197,0,5,0,77.628
1,1,0,0,1,0,0,0,6,0,77.628
-1,1,7,0,0,5.4978,5.8905,0,7,0,77.628
1,0,3,0,0,2.3562,1.1781,0,8,0,77.628
1,1,6,0,1,4.7124,4.7124,0,9,0,77.628
-1,0,1,0,1,0.7854,0.7854,0,10,0,77.628
1,0,5,0,0,3.927,3.1416,0,11,0,77.628
1,0,0,0,0,0,0.7854,0,12,0,77.628
-1,0,7,0,1,5.4978,5.4978,0,13,0,77.628
1,0,2,0,0,1.5708,0.7854,0,14,0,77.628
1,1,4,0,1,3.1416,3.1416,0,15,0,77.628
-1,0,6,0,1,4.7124,4.7124,0,16,0,77.628
1,0,4,0,0,3.1416,1.9635,0,17,0,77.628
1,0,0,0,0,0,0.3927,0,18,0,77.628
1,1,2,0,1,1.5708,1.5708,0,19,0,77.628
1,1,1,0,1,0.7854,0.7854,0,20,0,77.628
1,0,7,0,0,5.4978,6.6759,0,21,0,77.628
1,1,5,0,1,3.927,3.927,0,22,0,77.628
1,0,3,0,0,2.3562,1.5708,0,23,0,77.628
1,1,1,0,1,0.7854,0.7854,0,24,0,77.628
1,0,1,0,0,0.7854,1.5708,0,0,1,77.628
1,1,6,0,1,4.7124,4.7124,0,1,1,77.628
1,0,2,0,0,1.5708,1.9635,0,2,1,77.628
1,1,0,0,1,0,0,0,3,1,77.628
1,1,4,0,1,3.1416,3.1416,0,4,1,77.628
-1,1,7,0,0,5.4978,6.6759,0,5,1,77.628
-1,0,5,0,1,3.927,3.927,0,6,1,77.628
1,0,3,0,0,2.3562,3.5343,0,7,1,77.628
-1,1,1,0,0,0.7854,-0.3927,0,8,1,77.628
1,1,4,0,1,3.1416,3.1416,0,9,1,77.628
1,0,6,0,0,4.7124,4.3197,0,10,1,77.628
1,1,2,0,1,1.5708,1.5708,0,11,1,77.628
1,1,7,0,1,5.4978,5.4978,0,12,1,77.628
1,0,3,0,0,2.3562,3.5343,0,13,1,77.628
1,1,5,0,1,3.927,3.927,0,14,1,77.628
1,0,0,0,0,0,0.7854,0,15,1,77.628
1,0,2,0,0,1.5708,1.1781,0,16,1,77.628
1,1,3,0,1,2.3562,2.3562,0,17,1,77.628
1,1,0,0,1,0,0,0,18,1,77.628
-1,1,4,0,0,3.1416,1.9635,0,19,1,77.628
-1,0,7,0,1,5.4978,5.4978,0,20,1,77.628
1,0,6,0,0,4.7124,3.927,0,21,1,77.628
1,0,1,0,0,0.7854,1.9635,0,22,1,77.628
1,1,5,0,1,3.927,3.927,0,23,1,77.628
1,0,3,0,0,2.3562,3.1416,0,24,1,77.628
1,1,3,0,1,2.3562,2.3562,0,0,2,77.628
-1,1,5,0,0,3.927,4.3197,0,1,2,77.628
-1,1,4,0,0,3.1416,2.3562,0,2,2,77.628
-1,0,6,0,1,4.7124,4.7124,0,3,2,77.628
1,1,0,0,1,0,0,0,4,2,77.628
-1,1,2,0,0,1.5708,1.1781,0,5,2,77.628
-1,0,7,0,1,5.4978,5.4978,0,6,2,77.628
-1,1,1,0,0,0.7854,1.1781,0,7,2,77.628
-1,1,4,0,0,3.1416,1.9635,0,8,2,77.628
-1,0,2,0,1,1.5708,1.5708,0,9,2,77.628
-1,0,1,0,1,0.7854,0.7854,0,10,2,77.628
-1,1,6,0,0,4.7124,5.8905,0,11,2,77.628
-1,1,5,0,0,3.927,4.3197,0,12,2,77.628
-1,0,3,0,1,2.3562,2.3562,0,13,2,77.628
-1,0,0,0,1,0,0,0,14,2,77.628
-1,1,7,0,0,5.4978,6.2832,0,15,2,77.628
1,1,6,0,1,4.7124,4.7124,0,16,2,77.628
1,0,1,0,0,0.7854,0.3927,0,17,2,77.628
1,1,3,0,1,2.3562,2.3562,0,18,2,77.628
1,0,4,0,0,3.1416,1.9635,0,19,2,77.628
-1,1,5,0,0,3.927,3.1416,0,20,2,77.628
1,1,0,0,1,0,0,0,21,2,77.628
1,1,2,0,1,1.5708,1.5708,0,22,2,77.628
1,0,7,0,0,5.4978,5.1051,0,23,2,77.628
1,0,6,0,0,4.7124,5.1051,0,24,2,77.628
1,1,3,0,1,2.3562,2.3562,1,0,0,77.628
-1,1,7,0,0,5.4978,4.3197,1,1,0,77.628
-1,0,2,0,1,1.5708,1.5708,1,2,0,77.628
-1,1,6,0,0,4.7124,5.4978,1,3,0,77.628
-1,1,0,0,0,0,-0.7854,1,4,0,77.628
1,1,4,0,1,3.1416,3.1416,1,5,0,77.628
1,1,5,0,1,3.927,3.927,1,6,0,77.628
-1,1,1,0,0,0.7854,-0.3927,1,7,0,77.628
-1,1,3,0,0,2.3562,3.5343,1,8,0,77.628
1,1,4,0,1,3.1416,3.1416,1,9,0,77.628
-1,1,0,0,0,0,-0.7854,1,10,0,77.628
1,1,5,0,1,3.927,3.927,1,11,0,77.628
1,1,6,0,1,4.7124,4.7124,1,12,0,77.628
-1,1,7,0,0,5.4978,4.7124,1,13,0,77.628
1,1,2,0,1,1.5708,1.5708,1,14,0,77.628
-1,1,1,0,0,0.7854,-0.3927,1,15,0,77.628
-1,1,4,0,0,3.1416,3.927,1,16,0,77.628
1,1,1,0,1,0.7854,0.7854,1,17,0,77.628
-1,1,5,0,0,3.927,5.1051,1,18,0,77.628
1,1,6,0,1,4.7124,4.7124,1,19,0,77.628
-1,1,0,0,0,0,0.3927,1,20,0,77.628
1,1,2,0,1,1.5708,1.5708,1,21,0,77.628
1,1,7,0,1,5.4978,5.4978,1,22,0,77.628
-1,1,3,0,0,2.3562,1.1781,1,23,0,77.628
-1,1,1,0,0,0.7854,1.5708,1,24,0,77.628
