responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
-1,0,1,0,1,0.7854,0.7854,0,0,0,23.204
1,0,5,0,0,3.927,3.5343,0,1,0,23.204
1,0,0,0,0,0,0.3927,0,2,0,23.204
1,1,2,0,1,1.5708,1.5708,0,3,0,23.204
-1,1,6,0,0,4.7124,3.927,0,4,0,23.204
1,1,7,0,1,5.4978,5.4978,0,5,0,23.204
1,1,4,0,1,3.1416,3.1416,0,6,0,23.204
-1,1,3,0,0,2.3562,2.7489,0,7,0,23.204
-1,1,4,0,0,3.1416,2.3562,0,8,0,23.204
-1,0,2,0,1,1.5708,1.5708,0,9,0,23.204
1,0,1,0,0,0.7854,0.3927,0,10,0,23.204
-1,0,6,0,1,4.7124,4.7124,0,11,0,23.204
1,1,3,0,1,2.3562,2.3562,0,12,0,23.204
-1,1,0,0,0,0,-0.7854,0,13,0,23.204
1,1,7,0,1,5.4978,5.4978,0,14,0,23.204
-1,1,5,0,0,3.927,2.7489,0,15,0,23.204
-1,1,2,0,0,1.5708,1.9635,0,16,0,23.204
1,1,5,0,1,3.927,3.927,0,17,0,23.204
-1,1,6,0,0,4.7124,4.3197,0,18,0,23.204
1,1,1,0,1,0.7854,0.7854,0,19,0,23.204
1,1,4,0,1,3.1416,3.1416,0,20,0,23.204
-1,1,0,0,0,0,-0.7854,0,21,0,23.204
-1,1,3,0,0,2.3562,3.5343,0,22,0,23.204
1,1,7,0,1,5.4978,5.4978,0,23,0,23.204
-1,1,3,0,0,2.3562,3.1416,0,24,0,23.204
-1,1,4,0,0,3.1416,1.9635,0,0,1,23.204
1,1,2,0,1,1.5708,1.5708,0,1,1,23.204
1,1,6,0,1,4.7124,4.7124,0,2,1,23.204
-1,1,0,0,0,0,0.3927,0,3,1,23.204
1,1,1,0,1,0.7854,0.7854,0,4,1,23.204
-1,1,5,0,0,3.927,3.5343,0,5,1,23.204
-1,1,3,0,0,2.3562,1.9635,0,6,1,23.204
1,1,7,0,1,5.4978,5.4978,0,7,1,23.204
-1,1,5,0,0,3.927,4.3197,0,8,1,23.204
1,1,1,0,1,0.7854,0.7854,0,9,1,23.204
-1,1,0,0,0,0,1.1781,0,10,1,23.204
1,1,3,0,1,2.3562,2.3562,0,11,1,23.204
-1,1,6,0,0,4.7124,3.927,0,12,1,23.204
1,1,4,0,1,3.1416,3.1416,0,13,1,23.204
1,1,2,0,1,1.5708,1.5708,0,14,1,23.204
-1,1,7,0,0,5.4978,5.1051,0,15,1,23.204
1,1,1,0,1,0.7854,0.7854,0,16,1,23.204
-1,1,6,0,0,4.7124,5.4978,0,17,1,23.204
1,1,7,0,1,5.4978,5.4978,0,18,1,23.204
-1,1,5,0,0,3.927,5.1051,0,19,1,23.204
1,0,3,0,0,2.3562,1.9635,0,20,1,23.204
1,1,0,0,1,0,0,0,21,1,23.204
1,1,4,0,1,3.1416,3.1416,0,22,1,23.204
-1,1,2,0,0,1.5708,1.9635,0,23,1,23.204
1,1,3,0,1,2.3562,2.3562,0,24,1,23.204
1,1,2,0,1,1.5708,1.5708,0,0,2,23.204
-1,1,7,0,0,5.4978,4.3197,0,1,2,23.204
1,1,4,0,1,3.1416,3.1416,0,2,2,23.204
-1,1,5,0,0,3.927,4.3197,0,3,2,23.204
-1,1,1,0,0,0.7854,0.3927,0,4,2,23.204
1,1,0,0,1,0,0,0,5,2,23.204
-1,1,3,0,0,2.3562,3.1416,0,6,2,23.204
1,1,6,0,1,4.7124,4.7124,0,7,2,23.204
-1,1,2,0,0,1.5708,0.7854,0,8,2,23.204
1,1,4,0,1,3.1416,3.1416,0,9,2,23.204
-1,1,0,0,0,0,1.1781,0,10,2,23.204
1,1,1,0,1,0.7854,0.7854,0,11,2,23.204
1,1,5,0,1,3.927,3.927,0,12,2,23.204
-1,1,6,0,0,4.7124,5.1051,0,13,2,23.204
1,1,7,0,1,5.4978,5.4978,0,14,2,23.204
-1,1,3,0,0,2.3562,1.5708,0,15,2,23.204
1,1,3,0,1,2.3562,2.3562,0,16,2,23.204
1,0,1,0,0,0.7854,1.5708,0,17,2,23.204
1,1,5,0,1,3.927,3.927,0,18,2,23.204
-1,1,2,0,0,1.5708,0.7854,0,19,2,23.204
-1,1,7,0,0,5.4978,4.3197,0,20,2,23.204
1,1,6,0,1,4.7124,4.7124,0,21,2,23.204
-1,1,4,0,0,3.1416,4.3197,0,22,2,23.204
1,1,0,0,1,0,0,0,23,2,23.204
1,1,2,0,1,1.5708,1.5708,0,24,2,23.204
-1,1,6,0,0,4.7124,3.927,1,0,0,23.204
1,1,1,0,1,0.7854,0.7854,1,1,0,23.204
1,1,2,0,1,1.5708,1.5708,1,2,0,23.204
-1,1,5,0,0,3.927,5.1051,1,3,0,23.204
-1,1,0,0,0,0,-1.1781,1,4,0,23.204
1,1,4,0,1,3.1416,3.1416,1,5,0,23.204
1,1,3,0,1,2.3562,2.3562,1,6,0,23.204
-1,1,7,0,0,5.4978,6.2832,1,7,0,23.204
1,1,2,0,1,1.5708,1.5708,1,8,0,23.204
-1,1,3,0,0,2.3562,1.5708,1,9,0,23.204
1,1,0,0,1,0,0,1,10,0,23.204
-1,1,5,0,0,3.927,4.3197,1,11,0,23.204
-1,1,7,0,0,5.4978,5.1051,1,12,0,23.204
1,1,6,0,1,4.7124,4.7124,1,13,0,23.204
-1,1,4,0,0,3.1416,4.3197,1,14,0,23.204
1,1,1,0,1,0.7854,0.7854,1,15,0,23.204
-1,1,1,0,0,0.7854,1.1781,1,16,0,23.204
1,1,7,0,1,5.4978,5.4978,1,17,0,23.204
-1,1,0,0,0,0,-0.3927,1,18,0,23.204
1,1,4,0,1,3.1416,3.1416,1,19,0,23.204
1,1,5,0,1,3.927,3.927,1,20,0,23.204
-1,1,2,0,0,1.5708,0.7854,1,21,0,23.204
1,1,6,0,1,4.7124,4.7124,1,22,0,23.204
-1,1,3,0,0,2.3562,2.7489,1,23,0,23.204
-1,1,3,0,0,2.3562,2.7489,1,24,0,23.204
