responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,1,3,0,1,2.3562,2.3562,0,0,0,9.2848
-1,1,5,0,0,3.927,4.3197,0,1,0,9.2848
1,1,1,0,1,0.7854,0.7854,0,2,0,9.2848
-1,1,6,0,0,4.7124,4.3197,0,3,0,9.2848
1,0,2,0,0,1.5708,2.3562,0,4,0,9.2848
1,1,0,0,1,0,0,0,5,0,9.2848
1,1,4,0,1,3.1416,3.1416,0,6,0,9.2848
-1,1,7,0,0,5.4978,6.2832,0,7,0,9.2848
-1,1,2,0,0,1.5708,0.3927,0,8,0,9.2848
1,1,3,0,1,2.3562,2.3562,0,9,0,9.2848
-1,1,1,0,0,0.7854,1.9635,0,10,0,9.2848
1,1,6,0,1,4.7124,4.7124,0,11,0,9.2848
1,1,0,0,1,0,0,0,12,0,9.2848
-1,1,4,0,0,3.1416,3.5343,0,13,0,9.2848
-1,1,5,0,0,3.927,5.1051,0,14,0,9.2848
1,1,7,0,1,5.4978,5.4978,0,15,0,9.2848
-1,1,6,0,0,4.7124,4.3197,0,16,0,9.2848
1,1,5,0,1,3.927,3.927,0,17,0,9.2848
-1,1,1,0,0,0.7854,1.5708,0,18,0,9.2848
1,1,4,0,1,3.1416,3.1416,0,19,0,9.2848
-1,1,2,0,0,1.5708,0.3927,0,20,0,9.2848
1,1,3,0,1,2.3562,2.3562,0,21,0,9.2848
1,1,7,0,1,5.4978,5.4978,0,22,0,9.2848
-1,1,0,0,0,0,-0.3927,0,23,0,9.2848
-1,1,0,0,0,0,0.3927,0,24,0,9.2848
-1,1,5,0,0,3.927,4.7124,0,0,1,9.2848
1,1,4,0,1,3.1416,3.1416,0,1,1,9.2848
1,1,3,0,1,2.3562,2.3562,0,2,1,9.2848
-1,1,6,0,0,4.7124,5.1051,0,3,1,9.2848
-1,1,7,0,0,5.4978,4.7124,0,4,1,9.2848
1,1,0,0,1,0,0,0,5,1,9.2848
-1,1,2,0,0,1.5708,2.7489,0,6,1,9.2848
1,1,1,0,1,0.7854,0.7854,0,7,1,9.2848
