responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,0,6,0,0,4.7124,3.927,0,0,0,190.34
1,1,1,0,1,0.7854,0.7854,0,1,0,190.34
1,1,0,0,1,0,0,0,2,0,190.34
-1,1,2,0,0,1.5708,2.3562,0,3,0,190.34
1,1,3,0,1,2.3562,2.3562,0,4,0,190.34
-1,1,5,0,0,3.927,4.3197,0,5,0,190.34
1,1,4,0,1,3.1416,3.1416,0,6,0,190.34
1,0,7,0,0,5.4978,6.6759,0,7,0,190.34
-1,1,6,0,0,4.7124,5.1051,0,8,0,190.34
1,1,1,0,1,0.7854,0.7854,0,9,0,190.34
1,0,2,0,0,1.5708,0.7854,0,10,0,190.34
1,1,5,0,1,3.927,3.927,0,11,0,190.34
1,1,4,0,1,3.1416,3.1416,0,12,0,190.34
-1,1,3,0,0,2.3562,1.9635,0,13,0,190.34
1,1,7,0,1,5.4978,5.4978,0,14,0,190.34
1,0,0,0,0,0,0.7854,0,15,0,190.34
1,1,2,0,1,1.5708,1.5708,0,16,0,190.34
1,0,5,0,0,3.927,3.1416,0,17,0,190.34
1,1,0,0,1,0,0,0,18,0,190.34
-1,1,1,0,0,0.7854,1.5708,0,19,0,190.34
1,0,6,0,0,4.7124,5.8905,0,20,0,190.34
1,1,4,0,1,3.1416,3.1416,0,21,0,190.34
1,0,3,0,0,2.3562,1.9635,0,22,0,190.34
1,1,7,0,1,5.4978,5.4978,0,23,0,190.34
-1,0,7,0,1,5.4978,5.4978,0,24,0,190.34
1,0,6,0,0,4.7124,3.5343,0,0,1,190.34
1,1,7,0,1,5.4978,5.4978,0,1,1,190.34
1,1,4,0,1,3.1416,3.1416,0,2,1,190.34
-1,1,3,0,0,2.3562,3.5343,0,3,1,190.34
1,1,2,0,1,1.5708,1.5708,0,4,1,190.34
1,0,0,0,0,0,-0.3927,0,5,1,190.34
1,1,5,0,1,3.927,3.927,0,6,1,190.34
1,0,1,0,0,0.7854,1.5708,0,7,1,190.34
1,1,0,0,1,0,0,0,8,1,190.34
-1,1,2,0,0,1.5708,0.7854,0,9,1,190.34
-1,0,3,0,1,2.3562,2.3562,0,10,1,190.34
-1,1,7,0,0,5.4978,5.8905,0,11,1,190.34
1,1,1,0,1,0.7854,0.7854,0,12,1,190.34
1,0,6,0,0,4.7124,3.5343,0,13,1,190.34
1,0,4,0,0,3.1416,4.3197,0,14,1,190.34
1,1,5,0,1,3.927,3.927,0,15,1,190.34
-1,1,7,0,0,5.4978,4.7124,0,16,1,190.34
-1,0,3,0,1,2.3562,2.3562,0,17,1,190.34
-1,1,6,0,0,4.7124,3.5343,0,18,1,190.34
1,1,4,0,1,3.1416,3.1416,0,19,1,190.34
1,1,5,0,1,3.927,3.927,0,20,1,190.34
1,0,0,0,0,0,0.7854,0,21,1,190.34
1,0,1,0,0,0.7854,1.1781,0,22,1,190.34
1,1,2,0,1,1.5708,1.5708,0,23,1,190.34
1,1,1,0,1,0.7854,0.7854,0,24,1,190.34
-1,0,7,0,1,5.4978,5.4978,0,0,2,190.34
1,0,4,0,0,3.1416,2.7489,0,1,2,190.34
